ReadingTime,KW(h),Increment
5/24/20 10:00,97559,
5/24/20 11:00,97561,2
5/24/20 12:00,97563,2
5/24/20 13:00,97566,3
5/24/20 14:00,97570,4
5/24/20 15:00,97575,5
5/24/20 16:00,97580,5
5/24/20 17:00,97585,5
5/24/20 18:00,97589,4
5/24/20 19:00,97592,3
5/24/20 20:00,97596,4
5/24/20 21:00,97598,2
5/24/20 22:00,97601,3
5/25/20 10:00,97636,
5/25/20 11:00,97640,4
5/25/20 12:00,97645,5
5/25/20 13:00,97649,4
5/25/20 14:00,97655,6
5/25/20 15:00,97661,6
5/25/20 16:00,97665,4
5/25/20 17:00,97672,7
5/25/20 18:00,97677,5
5/25/20 19:00,97681,4
5/25/20 20:00,97685,4
5/25/20 21:00,97687,2
5/25/20 22:00,97691,4
5/26/20 10:00,97741,
5/26/20 11:00,97745,4
5/26/20 12:00,97748,3
5/26/20 13:00,97751,3
5/26/20 14:00,97753,2
5/26/20 15:00,97754,1
5/26/20 16:00,97756,2
5/26/20 17:00,97758,2
5/26/20 18:00,97761,3
5/26/20 19:00,97763,2
5/26/20 20:00,97766,3
5/26/20 21:00,97767,1
5/26/20 22:00,97770,3